INFLOWS,OUTFLOWS,debt_outflows,di_outflows,debt_inflows,di_inflows,equity_outflows,equity_inflows,portfolio_outflows,portfolio_inflows,reserve_flows,NETFLOWS,GPRC,GPRHC
-0.02300000004470348,0.375,0.0,0.0,0.001,0.045,0.0,0.0,0.0,0.001,-0.5767000000000001,-0.3980000019073486,,
-0.02800000086426735,-0.03700000047683716,0.0,0.0,0.014,0.058,0.0,0.0,0.0,0.014,0.8793,0.008999999612569809,,
-0.2129999995231628,-0.05700000002980232,0.0,0.002,0.162,0.091,0.0,0.0,0.0,0.162,-0.2165,-0.1560000032186508,,
0.6669999957084656,0.1330000013113022,0.0,0.0,0.312,0.017,0.0,0.0,0.0,0.312,-0.7992,0.5339999794960022,,
-2.440999984741211,0.3370000123977661,0.0,0.0,0.161,0.019,0.0,0.0,0.0,0.161,-1.0934,-2.777999877929688,,
0.1729999929666519,0.4000000059604645,0.0,0.0,0.209,0.033,0.0,0.0,0.0,0.209,0.4385,-0.2270000129938126,,
-0.1369999945163727,-0.1159999966621399,0.0,0.0,0.028,0.11,0.0,0.0,0.0,0.028,0.2535,-0.02099999785423279,,
0.06700000166893005,0.3070000112056732,0.0,0.0,0.068,0.04,0.0,0.0,0.0,0.068,-0.4535,-0.2400000095367432,,
0.3950000107288361,-0.3499999940395355,0.0,0.0,0.067,0.085,0.0,0.0,0.0,0.067,-0.0721,0.7450000047683716,,
0.3129999935626984,0.3170000016689301,0.0,0.0,-0.344,0.153,0.0,0.0,0.0,-0.344,-0.3769,-0.004000008106231689,0.06801596966882546,0.0410107597708702
-0.221000000834465,-0.3930000066757202,0.0,0.0,-0.161,0.172,0.0,0.0,0.0,-0.161,0.722,0.1720000058412552,0.0421633962541819,0.04733939903477827
0.02099999971687794,0.2599999904632568,0.0,0.0,-0.009000000000000001,0.305,0.0,0.0,0.0,-0.009000000000000001,1.291,-0.238999992609024,0.03851801902055743,0.021048424455026766
0.4990000128746033,-0.2099999934434891,0.0,0.0,-0.103,0.289,0.0,0.0,0.0,-0.103,0.3798,0.7089999914169312,0.0460385630528132,0.05050667002797127
-0.4009999930858612,-0.0430000014603138,0.0,0.0,-0.335,0.152,0.0,0.0,0.0,-0.335,-0.6113,-0.3579999804496765,0.06525281195839247,0.06464406723777454
0.7210000157356262,-0.1650000065565109,0.0,0.0,-0.115,0.185,0.0,0.0,0.0,-0.115,1.4149,0.8860000371932983,0.0438467115163803,0.06036178270975747
0.4199999868869781,0.4600000083446503,0.0,0.0,-0.031,0.108,0.0,0.0,0.0,-0.031,-0.5294,-0.04000002145767212,0.04746525486310323,0.0319986877342065
-0.04399999976158142,0.03400000184774399,0.0,0.0,-0.061,0.129,0.0,0.0,0.0,-0.061,-1.019,-0.07800000160932541,0.06299359103043874,0.07166755696137747
0.04699999839067459,-0.5329999923706055,0.0,0.0,-0.3,0.16,0.0,0.0,0.0,-0.3,-0.298,0.5799999833106995,0.03225897004206977,0.0338498875498772
-0.2460000067949295,0.2800000011920929,0.0,0.0,-0.048,-0.416,0.0,0.0,0.0,-0.048,-1.1349,-0.5260000228881836,0.06373719560603301,0.06863780381778883
0.239999994635582,0.4620000123977661,0.0,0.0,-0.049,0.122,0.0,0.0,0.0,-0.049,-0.455,-0.2220000177621841,0.048984173685312264,0.05815657849113146
-0.04500000178813934,-0.3129999935626984,0.0,0.0,-0.175,0.115,0.0,0.0,0.0,-0.175,0.5856,0.2680000066757202,0.03369681412974993,0.031274722889065736
-0.3089999854564667,0.0130000002682209,0.0,0.0,-0.314,0.252,0.0,0.0,0.0,-0.314,-0.0853,-0.3219999969005585,0.032321939244866364,0.02653936296701433
-0.2140000015497208,-0.2949999868869781,0.0,0.0,-0.111,0.285,0.0,0.0,0.0,-0.111,0.3585,0.08099998533725739,0.035770454754432066,0.0376776879032453
0.1739999949932098,-0.4690000116825104,0.0,0.0,-0.08,0.284,0.0,0.0,0.0,-0.08,1.1937,0.6430000066757202,0.02908010904987653,0.024159450704852734
-0.1609999984502792,-0.1280000060796738,0.0,0.0,-0.213,0.326,0.0,0.0,0.0,-0.213,0.4208,-0.03299999237060547,0.04874225395421187,0.050342834244171665
-1.439000010490417,-0.05000000074505806,0.0,0.0,-0.508,0.324,0.0,0.0,0.0,-0.508,-1.7868,-1.389000058174133,0.058468583971262,0.05517813439170521
-1.950000047683716,0.5540000200271606,0.0,0.0,-0.25,0.327,0.0,0.0,0.0,-0.25,-0.6753,-2.504000186920166,0.047399282455444336,0.041149031370878233
0.5410000085830688,-0.03500000014901161,0.0,0.0,-0.107,0.192,0.0,0.0,0.0,-0.107,1.313,0.5760000348091125,0.026005309695998832,0.024887630095084535
-4.835999965667725,-0.07000000029802322,0.0,0.0,-0.233,0.185,0.0,0.0,0.0,-0.233,-0.6768,-4.765999794006348,0.018938771759470334,0.014270638115704067
-2.710000038146973,-0.7580000162124634,-0.023,0.0,-0.384,0.066,0.0,0.0,-0.023,-0.384,-0.2232,-1.952000021934509,0.017694942963620033,0.0174311427399516
-1.435999989509583,-0.4070000052452087,-0.027,0.0,-0.08,0.114,0.0,0.0,-0.027,-0.08,1.6853,-1.029000043869019,0.0190380997955799,0.011799290155371034
-2.20199990272522,0.3170000016689301,-0.018,0.0,-0.123,0.213,0.0,0.0,-0.018,-0.123,0.2054,-2.518999814987183,0.06369093681375183,0.06431651860475536
